match,match_string,match_number,team,opponent,system,player,number,position,total_distance,zone_1,zone_2,zone_3,zone_4,zone_5,high_speed_runs,sprints,top_speed,possession_build_width,possession_build_height,possession_build_distance,possession_progression_width,possession_progression_height,possession_progression_distance,possession_third_width,possession_third_height,possession_third_distance,defensive_high_width,defensive_high_height,defensive_high_distance,defensive_mid_width,defensive_mid_height,defensive_mid_distance,defensive_low_width,defensive_low_height,defensive_low_distance
Spain 1 - 1 Germany,Germany_Spain,28,Germany,Spain,4231,KIMMICH Joshua,6,CM,12388.8,2956,5980.1,2393.5,844.9,215.6,190,59,31,56,39,17,50,29,42,42,34,54,43,37,50,40,24,41,35,22,17
Costa Rica 2 - 4 Germany,Germany_Costa Rica,44,Germany,Costa Rica,4231,MUSIALA Jamal,14,FW,10650.4,4022.7,4236.7,1342,810.5,237.5,123,62,31.3,48,40,21,52,29,47,43,33,57,38,33,49,38,27,39,34,32,14
Spain 1 - 1 Germany,Germany_Spain,28,Germany,Spain,4231,MUSIALA Jamal,14,WG,10881.3,3391.7,4492.9,1809.6,1002.2,185,168,76,32.4,56,39,17,50,29,42,42,34,54,43,37,50,40,24,41,35,22,17
Germany 1 - 2 Japan,Germany_Japan,11,Germany,Japan,4231,RAUM David,3,FB,11982.2,3963.7,4689.8,1830.9,927.4,570.4,170,74,33.8,59,40,21,56,32,43,43,34,57,40,37,49,37,27,39,35,29,16
Costa Rica 2 - 4 Germany,Germany_Costa Rica,44,Germany,Costa Rica,4231,RUEDIGER Antonio,2,CD,9678.8,4113.5,3831.8,1058.9,539.1,135.5,99,35,30.3,48,40,21,52,29,47,43,33,57,38,33,49,38,27,39,34,32,14
Germany 1 - 2 Japan,Germany_Japan,11,Germany,Japan,4231,RUEDIGER Antonio,2,CD,9725.2,4004.8,3871.6,1009.5,582.5,256.7,93,41,32.8,59,40,21,56,32,43,43,34,57,40,37,49,37,27,39,35,29,16
Spain 1 - 1 Germany,Germany_Spain,28,Germany,Spain,4231,RUEDIGER Antonio,2,CD,10254.9,3376.9,4480.4,1451.1,631.7,314.8,117,41,33.4,56,39,17,50,29,42,42,34,54,43,37,50,40,24,41,35,22,17
Costa Rica 2 - 4 Germany,Germany_Costa Rica,44,Germany,Costa Rica,4231,SANE Leroy,19,WG,10543.7,3884.3,3659.7,1537.3,975.3,488.2,131,66,34.3,48,40,21,52,29,47,43,33,57,38,33,49,38,27,39,34,32,14
Germany 1 - 2 Japan,Germany_Japan,11,Germany,Japan,4231,SCHLOTTERBECK Nico,23,CD,10185,3856,4333.7,1331.2,510.3,153.8,120,41,28.6,59,40,21,56,32,43,43,34,57,40,37,49,37,27,39,35,29,16
Costa Rica 2 - 4 Germany,Germany_Costa Rica,44,Germany,Costa Rica,4231,SUELE Niklas,15,CD,8855.4,3683.9,3901.7,770.4,372.8,126.6,77,29,29.9,48,40,21,52,29,47,43,33,57,38,33,49,38,27,39,34,32,14
