"Source","SS","Df","MS","F_value","Prob","Partial_Eta2","Model"
"defensive_mid_area       ",2052.14003170055,1,2052.14003170055,0.126762236487271,0.533333333333333,0.000326600092600764,"zone_5 by defensive_mid_area and system"
"system                   ",38442.5537033298,3,12814.1845677766,0.791541838997207,0.526401299756296,0.00608294023682198,"zone_5 by defensive_mid_area and system"
"defensive_mid_area:system",103837.968631193,3,34612.6562103976,2.13804986220125,0.0683636363636364,0.0162624733248708,"zone_5 by defensive_mid_area and system"
"Residuals                ",6281289.71501514,388,16188.8910180803,1,NA,NA,"zone_5 by defensive_mid_area and system"
"defensive_low_area       ",131.031363206883,1,131.031363206883,0.00808465893546661,0.823529411764706,2.08363156725797e-05,"zone_5 by defensive_low_area and system"
"system                   ",10214.4010723172,3,3404.80035743908,0.210076801153236,1,0.00162167107485547,"zone_5 by defensive_low_area and system"
"defensive_low_area:system",85713.6205283249,3,28571.206842775,1.76284865733864,0.152686145146089,0.0134469870180054,"zone_5 by defensive_low_area and system"
"Residuals                ",6288474.1743699,388,16207.4076659018,1,NA,NA,"zone_5 by defensive_low_area and system"
"possession_build_area       ",14196.9467582537,1,14196.9467582537,0.870471180927649,0.469565217391304,0.00223846047832891,"zone_5 by possession_build_area and system"
"system                      ",22169.603510091,3,7389.86783669699,0.45310214176644,0.422330097087379,0.00349113634339215,"zone_5 by possession_build_area and system"
"possession_build_area:system",33661.6360630472,3,11220.5453543491,0.687976191752225,0.222222222222222,0.00529125721210715,"zone_5 by possession_build_area and system"
"Residuals                   ",6328084.67746422,388,16309.4965914026,1,NA,NA,"zone_5 by possession_build_area and system"
"possession_progression_area       ",2787.41374806736,1,2787.41374806736,0.172935102675018,0.521276595744681,0.000445510459479291,"zone_5 by possession_progression_area and system"
"system                            ",16901.6602659083,3,5633.88675530278,0.349534325560112,0.809045226130653,0.00269530071219197,"zone_5 by possession_progression_area and system"
"possession_progression_area:system",117474.2743034,3,39158.0914344666,2.42942353551654,0.0758885686839577,0.0184378620579005,"zone_5 by possession_progression_area and system"
"Residuals                         ",6253886.67494844,388,16118.2646261558,1,NA,NA,"zone_5 by possession_progression_area and system"
"possession_third_area       ",2587.26441748466,1,2587.26441748466,0.157946060992172,1,0.000406911832142046,"zone_5 by possession_third_area and system"
"system                      ",15095.6832994975,3,5031.89443316583,0.307184646329908,1,0.00236951109974812,"zone_5 by possession_third_area and system"
"possession_third_area:system",29252.1254756864,3,9750.70849189546,0.595256514088761,1,0.00458141287293107,"zone_5 by possession_third_area and system"
"Residuals                   ",6355705.15451982,388,16380.6833879377,1,NA,NA,"zone_5 by possession_third_area and system"
"defensive_high_area       ",42791.5197826404,1,42791.5197826404,1.13480989724068,0.134674922600619,0.00291623845612874,"zone_4 by defensive_high_area and system"
"system                    ",295489.729870249,3,98496.5766234162,2.61208039733897,0.104450348721355,0.0197966744237944,"zone_4 by defensive_high_area and system"
"defensive_high_area:system",173620.862471465,3,57873.6208238218,1.53477974219253,0.13553929366847,0.0117276829788688,"zone_4 by defensive_high_area and system"
"Residuals                 ",14630740.9866933,388,37708.0953265292,1,NA,NA,"zone_4 by defensive_high_area and system"
"defensive_mid_area       ",128.199683919866,1,128.199683919866,0.00344350266679769,0.843137254901961,8.87492810814196e-06,"zone_4 by defensive_mid_area and system"
"system                   ",264996.179246363,3,88332.0597487876,2.37263988496893,0.0733539549270879,0.0180146718253718,"zone_4 by defensive_mid_area and system"
"defensive_mid_area:system",380597.434703673,3,126865.811567891,3.40767423991901,0.0288,0.0256716014306167,"zone_4 by defensive_mid_area and system"
"Residuals                ",14445023.6210113,388,37229.442322194,1,NA,NA,"zone_4 by defensive_mid_area and system"
"defensive_low_area       ",76793.4540963767,1,76793.4540963767,2.07863610624495,0.204081632653061,0.00532876172608129,"zone_4 by defensive_low_area and system"
"system                   ",122202.496273193,3,40734.1654243975,1.10258755782288,0.367949865711728,0.00845309750787857,"zone_4 by defensive_low_area and system"
"defensive_low_area:system",497566.669210056,3,165855.556403352,4.48935852694794,0,0.0335470648851922,"zone_4 by defensive_low_area and system"
"Residuals                ",14334332.0650868,388,36944.1548069247,1,NA,NA,"zone_4 by defensive_low_area and system"
"possession_build_area       ",131412.730561389,1,131412.730561389,3.51789769792766,1,0.00898527939236602,"zone_4 by possession_build_area and system"
"system                      ",130404.045487221,3,43468.0151624071,1.16363178681446,0.233333333333333,0.00891692604301649,"zone_4 by possession_build_area and system"
"possession_build_area:system",147082.946848493,3,49027.6489494977,1.31246229065815,0.0889781859931114,0.010045958879806,"zone_4 by possession_build_area and system"
"Residuals                   ",14493923.3133059,388,37355.4724569741,1,NA,NA,"zone_4 by possession_build_area and system"
