"system","Slope","R_squared","f2","p_value","Model"
"4231",-0.204818283392047,0.0370503986440058,0.0384759478500563,0.0322109565848907,"zone_5 by defensive_high_area and system"
"343",0.134620505525919,0.0321635169339497,0.0332323873884744,0.123664853251414,"zone_5 by defensive_mid_area and system"
"433",-0.0781856446703698,0.00330023812606975,0.00331116576155778,0.517849463690779,"zone_5 by defensive_mid_area and system"
"442",0.0904143118817679,0.0057808700807982,0.00581448285074539,0.537732701861332,"zone_5 by defensive_mid_area and system"
"4231",-0.230120076074132,0.0317603868274437,0.0328021973025632,0.0476702649799003,"zone_5 by defensive_mid_area and system"
"343",0.0949382969721733,0.00815965780527677,0.00822678556028609,0.440869249579811,"zone_5 by defensive_low_area and system"
"433",-0.158106337731318,0.0195447536808666,0.0199343659532063,0.114068614555071,"zone_5 by defensive_low_area and system"
"442",0.179813445012709,0.0194859588190521,0.0198732073184621,0.256235421338905,"zone_5 by defensive_low_area and system"
"4231",-0.095435858186581,0.0102433214895741,0.0103493330350548,0.263362204327078,"zone_5 by defensive_low_area and system"
"343",0.122783858062648,0.0468653823347499,0.0491697410482781,0.0621104024967892,"zone_5 by possession_build_area and system"
"433",-0.0395888894921781,0.00121896950548686,0.00122045720560324,0.694464263254911,"zone_5 by possession_build_area and system"
"442",0.0643768230075927,0.00608559829693417,0.00612285956064882,0.527173081077488,"zone_5 by possession_build_area and system"
"4231",0.0141376721599507,0.000254579413104528,0.000254644240285771,0.860384137987369,"zone_5 by possession_build_area and system"
"343",0.0601343879761689,0.0021830036988762,0.0021877796299006,0.690592465329959,"zone_5 by possession_progression_area and system"
"433",0.138973346908541,0.0130610392368234,0.0132338875615201,0.197181731522759,"zone_5 by possession_progression_area and system"
"442",-0.228499792566839,0.0675290297577456,0.0724194445862499,0.0323487718409664,"zone_5 by possession_progression_area and system"
"4231",-0.0678493803415341,0.0054584038440012,0.00548836153771594,0.414793424519834,"zone_5 by possession_progression_area and system"
"343",0.0860759445791432,0.00458989806410646,0.00461106237035362,0.563580571836893,"zone_5 by possession_third_area and system"
"433",0.0387818063047886,0.000938496899689247,0.000939378503502419,0.730365208543753,"zone_5 by possession_third_area and system"
"442",-0.208266728195011,0.0163550970498349,0.0166270338013061,0.29866207276869,"zone_5 by possession_third_area and system"
"4231",-0.033348063301632,0.000671198946999859,0.00067164975760992,0.775169213300067,"zone_5 by possession_third_area and system"
"343",1.02384537178526,0.0426955233990736,0.0445997323136641,0.0752968004688523,"zone_4 by defensive_high_area and system"
"433",-0.0807650454939341,0.00129065062072178,0.00129231855246368,0.686068873274614,"zone_4 by defensive_high_area and system"
"442",-0.046478767354232,0.000632321037876405,0.000632721120752166,0.838707570739819,"zone_4 by defensive_high_area and system"
"4231",-0.203763385166931,0.0153462524295288,0.0155854303783376,0.170442080773214,"zone_4 by defensive_high_area and system"
"343",0.365249370616919,0.0772504049852421,0.083717625456131,0.0157621319349708,"zone_4 by defensive_mid_area and system"
"433",-0.0934394667672306,0.00209780063503761,0.00210221065388231,0.60626294754635,"zone_4 by defensive_mid_area and system"
"442",0.0685950430043949,0.00183194045126266,0.00183530261636589,0.728919788693009,"zone_4 by defensive_mid_area and system"
"4231",-0.36121787845671,0.0327498897881326,0.0338587604616133,0.044281168511074,"zone_4 by defensive_mid_area and system"
